Individual,Predator,Habitat,prop.agg,prop.flee,prop.crypsis,prop.ring,prop.drop,prop.leaf,prop.nothing,SVL,max.bite.force,normalized.peak.velocity,BirdPC1,SnakePC1,SnakePC2
CcalypA01,Bird,Open,0.5,0,0,0,0,0,0.5,17.5,85.2071,1.431845714,1.72456726,0.36856196,0.587583728
CcalypA01,Bird,Closed,1,0,0,0,0,0,0,17.5,85.2071,1.431845714,1.72456726,0.36856196,0.587583728
CcalypA01,Snake,Open,0.5,0,0,0,0,0,0.5,17.5,85.2071,1.431845714,1.72456726,0.36856196,0.587583728
CcalypA01,Snake,Closed,1,0,0,0,0,0,0,17.5,85.2071,1.431845714,1.72456726,0.36856196,0.587583728
CcalypA02,Bird,Open,0.5,0,0,0,0,0,0.5,22.6,71.884,0.702553097,7.20265119,4.80723559,-1.534807175
CcalypA02,Bird,Closed,0.25,0,0.25,0,0,0,0.5,22.6,71.884,0.702553097,7.20265119,4.80723559,-1.534807175
CcalypA02,Snake,Open,0,0,0,0,0,0,1,22.6,71.884,0.702553097,7.20265119,4.80723559,-1.534807175
CcalypA02,Snake,Closed,0,0,1,0,0,0,0,22.6,71.884,0.702553097,7.20265119,4.80723559,-1.534807175
CcalypA04,Bird,Open,1,0,0,0,0,0,0,19.2,122.873,2.36265625,-0.51724296,-0.29091601,-1.182969352
CcalypA04,Bird,Closed,0.5,0,0,0,0,0,0.5,19.2,122.873,2.36265625,-0.51724296,-0.29091601,-1.182969352
CcalypA04,Snake,Open,1,0,0,0,0,0,0,19.2,122.873,2.36265625,-0.51724296,-0.29091601,-1.182969352
CcalypA04,Snake,Closed,0.25,0,0.5,0,0,0,0.25,19.2,122.873,2.36265625,-0.51724296,-0.29091601,-1.182969352
CcalypA05,Bird,Open,0,0,0,0,0,0,1,21.3,44.1726,0.861352113,-2.29679652,-0.86550054,-1.006875195
CcalypA05,Bird,Closed,0,0,0,0,0,0,1,21.3,44.1726,0.861352113,-2.29679652,-0.86550054,-1.006875195
CcalypA05,Snake,Open,0.5,0,0,0,0,0,0.5,21.3,44.1726,0.861352113,-2.29679652,-0.86550054,-1.006875195
CcalypA05,Snake,Closed,0.25,0,0,0,0,0,0.75,21.3,44.1726,0.861352113,-2.29679652,-0.86550054,-1.006875195
CcalypA08,Bird,Open,0.25,0.25,0,0,0,0,0.5,22.4,68.7455,1.457790179,1.82043453,2.10900729,0.097825251
CcalypA08,Bird,Closed,0,0,0,0,0,0,1,22.4,68.7455,1.457790179,1.82043453,2.10900729,0.097825251
CcalypA08,Snake,Open,0.25,0.5,0,0,0,0,0.25,22.4,68.7455,1.457790179,1.82043453,2.10900729,0.097825251
CcalypA08,Snake,Closed,0.25,0,0,0,0,0,0.75,22.4,68.7455,1.457790179,1.82043453,2.10900729,0.097825251
CcalypA09,Bird,Open,1,0,0,0,0,0,0,22.2,124.964,1.502225225,-0.87727754,-0.52448925,-1.052006668
CcalypA09,Bird,Closed,1,0,0,0,0,0,0,22.2,124.964,1.502225225,-0.87727754,-0.52448925,-1.052006668
CcalypA09,Snake,Open,1,0,0,0,0,0,0,22.2,124.964,1.502225225,-0.87727754,-0.52448925,-1.052006668
CcalypA09,Snake,Closed,1,0,0,0,0,0,0,22.2,124.964,1.502225225,-0.87727754,-0.52448925,-1.052006668
CcalypH01,Bird,Open,0.25,0,0,0.5,0,0,0.25,4.477,1.51518,3.439379048,1.92172052,2.52075032,1.976117001
CcalypH01,Bird,Closed,0,0.75,0,0,0,0,0.25,4.477,1.51518,3.439379048,1.92172052,2.52075032,1.976117001
CcalypH01,Snake,Open,0.25,0.5,0,0.25,0,0,0,4.477,1.51518,3.439379048,1.92172052,2.52075032,1.976117001
CcalypH01,Snake,Closed,0,0.5,0,0,0,0,0.5,4.477,1.51518,3.439379048,1.92172052,2.52075032,1.976117001
CcalypH02,Bird,Open,0,0.5,0,0.5,0,0,0,3.377,0.680339,4.115901688,1.00322316,0.22588292,1.48573289
CcalypH02,Bird,Closed,0,0,0,0,0,0,1,3.377,0.680339,4.115901688,1.00322316,0.22588292,1.48573289
CcalypH02,Snake,Open,0,0.75,0,0,0,0,0.25,3.377,0.680339,4.115901688,1.00322316,0.22588292,1.48573289
CcalypH02,Snake,Closed,0,0.25,0,0,0,0,0.75,3.377,0.680339,4.115901688,1.00322316,0.22588292,1.48573289
CcalypH05,Bird,Open,0,0,0,1,0,0,0,3.883,2.12971,3.915039918,-1.95129898,-0.39293675,-0.560074929
CcalypH05,Bird,Closed,0,1,0,0,0,0,0,3.883,2.12971,3.915039918,-1.95129898,-0.39293675,-0.560074929
CcalypH05,Snake,Open,0,0.25,0,0.5,0,0.25,0,3.883,2.12971,3.915039918,-1.95129898,-0.39293675,-0.560074929
CcalypH05,Snake,Closed,0,0.75,0,0,0,0,0.25,3.883,2.12971,3.915039918,-1.95129898,-0.39293675,-0.560074929
CcalypH06,Bird,Open,0.5,0,0,0.5,0,0,0,4.186,1.02921,3.670186335,-0.1258636,0.68683906,0.389267271
CcalypH06,Bird,Closed,0,1,0,0,0,0,0,4.186,1.02921,3.670186335,-0.1258636,0.68683906,0.389267271
CcalypH06,Snake,Open,0,0.5,0,0.5,0,0,0,4.186,1.02921,3.670186335,-0.1258636,0.68683906,0.389267271
CcalypH06,Snake,Closed,0.25,0.5,0,0,0.25,0,0,4.186,1.02921,3.670186335,-0.1258636,0.68683906,0.389267271
CcalypH07,Bird,Open,0,0.5,0,0.5,0,0,0,4.042,1.31604,3.914621475,-1.00957697,-1.03674682,-0.519495692
CcalypH07,Bird,Closed,0,0.25,0,0,0,0,0.75,4.042,1.31604,3.914621475,-1.00957697,-1.03674682,-0.519495692
CcalypH07,Snake,Open,0,0.75,0,0.25,0,0,0,4.042,1.31604,3.914621475,-1.00957697,-1.03674682,-0.519495692
CcalypH07,Snake,Closed,0,0,0,0,0.25,0,0.75,4.042,1.31604,3.914621475,-1.00957697,-1.03674682,-0.519495692
CcalypH08,Bird,Open,0,0.5,0,0.5,0,0,0,4.162,2.80378,4.750864969,-1.537653,0.04745495,-0.82654913
CcalypH08,Bird,Closed,0,1,0,0,0,0,0,4.162,2.80378,4.750864969,-1.537653,0.04745495,-0.82654913
CcalypH08,Snake,Open,0,1,0,0,0,0,0,4.162,2.80378,4.750864969,-1.537653,0.04745495,-0.82654913
CcalypH08,Snake,Closed,0,0.75,0,0,0,0,0.25,4.162,2.80378,4.750864969,-1.537653,0.04745495,-0.82654913
CcalypH09,Bird,Open,0,0,0,1,0,0,0,3.878,1.62511,4.750567303,0.06697033,-0.18511571,1.076142367
CcalypH09,Bird,Closed,0,0.75,0,0,0,0,0.25,3.878,1.62511,4.750567303,0.06697033,-0.18511571,1.076142367
CcalypH09,Snake,Open,0,0.25,0,0.75,0,0,0,3.878,1.62511,4.750567303,0.06697033,-0.18511571,1.076142367
CcalypH09,Snake,Closed,0,0.75,0,0,0,0,0,3.878,1.62511,4.750567303,0.06697033,-0.18511571,1.076142367
CcalypH10,Bird,Open,0,1,0,0,0,0,0,6.037,4.07436,3.097979129,-1.42766613,-0.33569062,1.33923863
CcalypH10,Bird,Closed,0,0.75,0,0,0,0,0.25,6.037,4.07436,3.097979129,-1.42766613,-0.33569062,1.33923863
CcalypH10,Snake,Open,0,0.25,0,0.75,0,0,0,6.037,4.07436,3.097979129,-1.42766613,-0.33569062,1.33923863
CcalypH10,Snake,Closed,0,0.75,0,0,0,0,0.25,6.037,4.07436,3.097979129,-1.42766613,-0.33569062,1.33923863
CcalypH11,Bird,Open,0,0.25,0,0.5,0,0,0.25,5.603,4.44338,3.050954846,-0.82666398,-1.41181736,-0.004112413
CcalypH11,Bird,Closed,0,1,0,0,0,0,0,5.603,4.44338,3.050954846,-0.82666398,-1.41181736,-0.004112413
CcalypH11,Snake,Open,0,0,0,0.5,0,0.5,0,5.603,4.44338,3.050954846,-0.82666398,-1.41181736,-0.004112413
CcalypH11,Snake,Closed,0,1,0,0,0,0,0,5.603,4.44338,3.050954846,-0.82666398,-1.41181736,-0.004112413
CcalypH12,Bird,Open,0,1,0,0,0,0,0,5.788,4.60354,3.247909468,-0.76149015,-0.50282374,1.490785257
CcalypH12,Bird,Closed,0,1,0,0,0,0,0,5.788,4.60354,3.247909468,-0.76149015,-0.50282374,1.490785257
CcalypH12,Snake,Open,0,0.25,0,0.75,0,0,0,5.788,4.60354,3.247909468,-0.76149015,-0.50282374,1.490785257
CcalypH12,Snake,Closed,0,1,0,0,0,0,0,5.788,4.60354,3.247909468,-0.76149015,-0.50282374,1.490785257
CcalypJ01,Bird,Open,0,0,0,1,0,0,0,11.3,12.8378,2.559539823,-2.08112398,-1.21385866,-1.061025122
CcalypJ01,Bird,Closed,0,1,0,0,0,0,0,11.3,12.8378,2.559539823,-2.08112398,-1.21385866,-1.061025122
CcalypJ01,Snake,Open,0,0,0,0.5,0,0,0.5,11.3,12.8378,2.559539823,-2.08112398,-1.21385866,-1.061025122
CcalypJ01,Snake,Closed,0,0.5,0,0,0,0,0.5,11.3,12.8378,2.559539823,-2.08112398,-1.21385866,-1.061025122
CcalypJ02,Bird,Open,0,1,0,0,0,0,0,11,14.4019,2.324472727,-0.64013551,-0.60952055,-1.47682731
CcalypJ02,Bird,Closed,0,0,0,0.5,0,0,0.5,11,14.4019,2.324472727,-0.64013551,-0.60952055,-1.47682731
CcalypJ02,Snake,Open,0,0.5,0,0,0,0,0.5,11,14.4019,2.324472727,-0.64013551,-0.60952055,-1.47682731
CcalypJ02,Snake,Closed,0,0.5,0,0,0,0,0.5,11,14.4019,2.324472727,-0.64013551,-0.60952055,-1.47682731
CcalypJ03,Bird,Open,0.5,0,0,0,0,0,0.5,17.4,44.3536,1.271436782,1.06113142,1.47465466,0.710323853
CcalypJ03,Bird,Closed,0,0,0.75,0,0,0,0.25,17.4,44.3536,1.271436782,1.06113142,1.47465466,0.710323853
CcalypJ03,Snake,Open,0,0.5,0,0,0,0,0.5,17.4,44.3536,1.271436782,1.06113142,1.47465466,0.710323853
CcalypJ03,Snake,Closed,0,0,1,0,0,0,0,17.4,44.3536,1.271436782,1.06113142,1.47465466,0.710323853
CcalypJ04,Bird,Open,0,1,0,0,0,0,0,9.3,14.6666,2.593193548,2.09804093,0.28977914,-1.337297055
CcalypJ04,Bird,Closed,0,0.75,0.25,0,0,0,0,9.3,14.6666,2.593193548,2.09804093,0.28977914,-1.337297055
CcalypJ04,Snake,Open,0,0.75,0,0.25,0,0,0,9.3,14.6666,2.593193548,2.09804093,0.28977914,-1.337297055
CcalypJ04,Snake,Closed,0,1,0,0,0,0,0,9.3,14.6666,2.593193548,2.09804093,0.28977914,-1.337297055
CcalypJ05,Bird,Open,0,0,0,0,0,0,1,13.8,30.0034,1.346572464,-0.19445889,0.45235793,-0.215530219
CcalypJ05,Bird,Closed,0,0,0,0,0,0,1,13.8,30.0034,1.346572464,-0.19445889,0.45235793,-0.215530219
CcalypJ05,Snake,Open,0,0,0,0.25,0,0,0.75,13.8,30.0034,1.346572464,-0.19445889,0.45235793,-0.215530219
CcalypJ05,Snake,Closed,0,0.5,0,0,0,0,0.5,13.8,30.0034,1.346572464,-0.19445889,0.45235793,-0.215530219
CcalypJ06,Bird,Open,0,0.5,0,0.5,0,0,0,15.7,77.1441,2.865732484,-1.48155114,-1.29557018,-1.341846953
CcalypJ06,Bird,Closed,0,0.5,0,0,0,0,0.5,15.7,77.1441,2.865732484,-1.48155114,-1.29557018,-1.341846953
CcalypJ06,Snake,Open,0,0,0,0.75,0,0,0.25,15.7,77.1441,2.865732484,-1.48155114,-1.29557018,-1.341846953
CcalypJ06,Snake,Closed,0,0.5,0,0,0,0,0.5,15.7,77.1441,2.865732484,-1.48155114,-1.29557018,-1.341846953
CcalypJ07,Bird,Open,0,0.25,0,0,0,0,0.75,13.4,47.5683,2.962462687,0.73151372,-1.18946013,-0.741440443
CcalypJ07,Bird,Closed,0,1,0,0,0,0,0,13.4,47.5683,2.962462687,0.73151372,-1.18946013,-0.741440443
CcalypJ07,Snake,Open,0,0.75,0,0,0,0,0.25,13.4,47.5683,2.962462687,0.73151372,-1.18946013,-0.741440443
CcalypJ07,Snake,Closed,0,0.5,0.5,0,0,0,0,13.4,47.5683,2.962462687,0.73151372,-1.18946013,-0.741440443
CcalypJ08,Bird,Open,0,0.75,0.25,0,0,0,0,12.9,55.1093,2.946387597,-0.88590006,-0.64722303,-0.522273953
CcalypJ08,Bird,Closed,0,0.75,0,0,0.25,0,0,12.9,55.1093,2.946387597,-0.88590006,-0.64722303,-0.522273953
CcalypJ08,Snake,Open,0,0.25,0,0.75,0,0,0,12.9,55.1093,2.946387597,-0.88590006,-0.64722303,-0.522273953
CcalypJ08,Snake,Closed,0,0.75,0.25,0,0,0,0,12.9,55.1093,2.946387597,-0.88590006,-0.64722303,-0.522273953
CcalypJ09,Bird,Open,1,0,0,0,0,0,0,14.7,54.1335,2.679408163,1.10243563,-1.13148164,1.266085703
CcalypJ09,Bird,Closed,0.25,0.25,0.25,0,0,0,0.25,14.7,54.1335,2.679408163,1.10243563,-1.13148164,1.266085703
CcalypJ09,Snake,Open,1,0,0,0,0,0,0,14.7,54.1335,2.679408163,1.10243563,-1.13148164,1.266085703
CcalypJ09,Snake,Closed,0.25,0.25,0.25,0,0,0,0.25,14.7,54.1335,2.679408163,1.10243563,-1.13148164,1.266085703
CcalypJ10,Bird,Open,0.75,0.25,0,0,0,0,0,15.4,26.3659,2.422668831,-2.11798928,-1.34937281,2.964029659
CcalypJ10,Bird,Closed,0,1,0,0,0,0,0,15.4,26.3659,2.422668831,-2.11798928,-1.34937281,2.964029659
CcalypJ10,Snake,Open,0,0.25,0,0.75,0,0,0,15.4,26.3659,2.422668831,-2.11798928,-1.34937281,2.964029659
CcalypJ10,Snake,Closed,0,1,0,0,0,0,0,15.4,26.3659,2.422668831,-2.11798928,-1.34937281,2.964029659